Circonscription;Resultats
"8102";37.94, RN - 31.63, UG - 21.70, ENS;Triangulaire
"8103";43.51, UXD - 28.60, ENS - 25.39, UG;Triangulaire
"8201";43.93, UXD - 36.81, UG;Duel
"8202";49.17, RN - 18.54, UG;Duel
"8301";42.28, RN - 31.37, ENS - 22.38, UG;Triangulaire
"8302";50.81, RN;Elu
"8303";46.51, RN - 20.21, ENS;Duel
"8304";56.11, RN;Elu
"8305";51.51, RN;Elu
"8306";53.51, RN;Elu
"8307";48.30, RN - 18.53, ENS;Duel
"8308";53.55, RN;Elu
"8401";34.62, RN - 24.76, UG;Duel
"8402";45.95, RN - 24.85, UG - 19.40, ENS;Triangulaire
"8403";53.51, RN;Elu
"8404";49.89, RN - 19.64, UG;Duel
"8405";45.03, RN - 27.16, UG - 20.29, ENS;Triangulaire
"8501";32.17, UXD - 28.51, ENS - 23.33, UG;Triangulaire
"8502";38.74, ENS - 36.53, RN - 23.34, UG;Triangulaire
"8503";35.59, UXD - 34.89, ENS;Duel
"8504";39.31, DVD - 22.88, RN - 18.46, ENS - 18.42, UG;Duel
"8505";37.87, RN - 34.84, ENS - 20.12, UG;Triangulaire
"8601";33.14, UG - 28.93, RN - 28.85, HOR;Triangulaire
"8602";33.21, ENS - 28.63, UG - 24.42, RN;Triangulaire
"8603";40.82, RN - 30.18, ENS - 26.73, UG;Triangulaire
"8604";41.04, RN - 32.11, ENS - 21.09, UG;Triangulaire
